Namn,I Blåvitt,Matcher,Mål,Allsvenska Matcher,Allsvenska Mål
MOLIN Elving,1966,15,1,3,0
QVIST Jan,1966,1,0,0,0
ÅGREN Thomas,1966,1,0,0,0
ALMQVIST Reine,"1967-1972, 1976-1980",298,145,110,54
ARVELIN Lars-Erik,1967-1970,88,1,42,0
BERTILSSON Bengt,1967-1971,89,0,32,0
FERNELL Lars,1967-1968,2,1,0,0
NIKLASSON Donald,1967-1978,335,25,63,1
ENGSTRÖM Ove,"1968, 1970-1971",69,3,15,1
JAGLER Bo,1968-1969,36,1,17,1
LIND Eive,1968-1969,2,0,0,0
NILSSON Stellan,1968-1972,82,7,10,0
OSKARSSON Börje,1968-1972,131,33,41,7
SVÄRD Ulf,1968-1969,3,1,0,0
ALGEBÄCK Gunde,1969-1972,4,1,0,0
FALK Stig,1969-1971,7,0,0,0
NILSSON Lars-Erik,1969-1970,4,2,1,0
JOHANNESSON Bengt,"1970, 1972",3,0,0,0
LAGER Kjell,1970,2,0,2,0
LUNDBERG Claes-Enar,1970-1971,17,0,0,0
NORDSTRÖM Jan,"1970-1971, 1974-1978",192,3,35,0
PROFOZIC Toni,1970-1971,5,1,0,0
ÖSTLUND Dan,1970-1974,131,49,5,1
ANDRÉN Kenny,1971,6,0,0,0
BLOMQVIST Rolf,1971-1975,104,0,0,0
EKMAN Björn,1971,1,0,0,0
HELLSTRÖM Torbjörn,1971,1,0,0,0
HÄGGLUND Per,1971,2,0,0,0
KARLSSON Arne,1971,21,4,0,0
OLAUSSON Reine,1971-1980,386,25,90,1
OLOFSSON Mats,1971-1972,9,0,0,0
SANDGREN Lars,1971,9,0,0,0
SVENSSON Jan-Åke,1971-1973,34,4,0,0
AUGUSTSSON Kenth,1972-1973,48,7,0,0
BENDER Jan,1972,1,0,0,0
BERGENDAHL Hans,1972,1,0,0,0
BLOM Ralf,1972-1975,92,8,0,0
DANIELSSON Sten,"1972, 1974-1975",60,10,0,0
